{'outOfRailTime': 0.2806015345455888, 'outOfRailVelocity': 16.13480890055026, 'apogeeTime': 25.065817552032605, 'apogeeAltitude': 2673.41521003055, 'apogeeX': 484.77515788110844, 'apogeeY': 66.50415976223242, 'impactTime': 183.99545498663701, 'impactX': 751.2603766357377, 'impactY': 52.16696671511411, 'impactVelocity': -9.437972330431213, 'initialStaticMargin': 1.6927187630919942, 'outOfRailStaticMargin': 1.7407379404377754, 'finalStaticMargin': 2.4730595727321036, 'numberOfEvents': 2, 'executionTime': 2.046875, 'maxVelocity': 214.5946254149264, 'drogueTriggerTime': 23.580952380952382, 'drogueInflatedTime': 24.03641659506704, 'drogueInflatedVelocity': 21.43661658536545}
{'outOfRailTime': 0.24991078211107667, 'outOfRailVelocity': 19.34915720981626, 'apogeeTime': 32.08609465142834, 'apogeeAltitude': 4913.39920147233, 'apogeeX': 953.1102125075356, 'apogeeY': 311.3341469927141, 'impactTime': 311.8390136764021, 'impactX': 2434.2474608223915, 'impactY': 516.5572820465088, 'impactVelocity': -7.945292364046567, 'initialStaticMargin': 2.186467829050124, 'outOfRailStaticMargin': 2.23040139614299, 'finalStaticMargin': 3.1525409371975712, 'numberOfEvents': 2, 'executionTime': 2.703125, 'maxVelocity': 331.3133080201826, 'drogueTriggerTime': 29.752380952380957, 'drogueInflatedTime': 31.56762809042752, 'drogueInflatedVelocity': 31.00714511566274}
{'outOfRailTime': 0.3250362762556536, 'outOfRailVelocity': 16.471171279500325, 'apogeeTime': 23.659117591147595, 'apogeeAltitude': 2332.7613826929787, 'apogeeX': 640.211897581502, 'apogeeY': 170.04090811806523, 'impactTime': 178.88696846957555, 'impactX': 840.6060964739291, 'impactY': 194.58264236732148, 'impactVelocity': -8.71071978496129, 'initialStaticMargin': 2.233460592355689, 'outOfRailStaticMargin': 2.2848471542661573, 'finalStaticMargin': 2.99419814232879, 'numberOfEvents': 2, 'executionTime': 1.40625, 'maxVelocity': 197.89753018864553, 'drogueTriggerTime': 22.06666666666667, 'drogueInflatedTime': 22.704105159514555, 'drogueInflatedVelocity': 29.662048881229598}
{'outOfRailTime': 0.27459321811582466, 'outOfRailVelocity': 17.197189983334354, 'apogeeTime': 30.32807248626752, 'apogeeAltitude': 4090.583432966352, 'apogeeX': 1131.661958697225, 'apogeeY': 352.4807985917784, 'impactTime': 248.6255070726855, 'impactX': 2427.261064281532, 'impactY': 542.8790713132357, 'impactVelocity': -9.424016777764765, 'initialStaticMargin': 2.662512810853142, 'outOfRailStaticMargin': 2.692975238503602, 'finalStaticMargin': 3.266953149289309, 'numberOfEvents': 2, 'executionTime': 2.328125, 'maxVelocity': 277.73232317198443, 'drogueTriggerTime': 29.019047619047623, 'drogueInflatedTime': 30.47043371335117, 'drogueInflatedVelocity': 39.60131962843322}
{'outOfRailTime': 0.276803660965085, 'outOfRailVelocity': 18.332755575916366, 'apogeeTime': 29.81609518716147, 'apogeeAltitude': 4073.588510635137, 'apogeeX': 786.4957412999997, 'apogeeY': 366.048918248801, 'impactTime': 249.97738336620864, 'impactX': 1669.1029743885188, 'impactY': 586.9136414785734, 'impactVelocity': -8.081548628149141, 'initialStaticMargin': 2.1393109811601034, 'outOfRailStaticMargin': 2.1730986989742638, 'finalStaticMargin': 2.778780401856837, 'numberOfEvents': 2, 'executionTime': 2.1875, 'maxVelocity': 282.21491257636245, 'drogueTriggerTime': 28.580952380952382, 'drogueInflatedTime': 30.020794142061753, 'drogueInflatedVelocity': 28.901330638272306}
{'outOfRailTime': 0.2306220658139731, 'outOfRailVelocity': 21.134046309514343, 'apogeeTime': 31.124370936834314, 'apogeeAltitude': 4851.492039159765, 'apogeeX': 892.3287301170765, 'apogeeY': 304.79042098592146, 'impactTime': 353.43613961741676, 'impactX': 2462.865714970013, 'impactY': 528.0273820900385, 'impactVelocity': -6.62019153097112, 'initialStaticMargin': 1.546443871173315, 'outOfRailStaticMargin': 1.5971137402485966, 'finalStaticMargin': 2.8560162908113553, 'numberOfEvents': 2, 'executionTime': 2.96875, 'maxVelocity': 367.7199561722835, 'drogueTriggerTime': 28.590476190476192, 'drogueInflatedTime': 30.029511386075026, 'drogueInflatedVelocity': 29.656575435708923}
{'outOfRailTime': 0.25159439903767467, 'outOfRailVelocity': 20.807273222339855, 'apogeeTime': 29.875613778364816, 'apogeeAltitude': 4234.810413858518, 'apogeeX': 711.1352715905883, 'apogeeY': 280.06112029980795, 'impactTime': 281.697535223417, 'impactX': 1545.6622480897454, 'impactY': 241.87328876050134, 'impactVelocity': -7.720349090832531, 'initialStaticMargin': 1.8254790366538227, 'outOfRailStaticMargin': 1.8674978167707532, 'finalStaticMargin': 2.5835784859104147, 'numberOfEvents': 2, 'executionTime': 2.734375, 'maxVelocity': 301.5189828419198, 'drogueTriggerTime': 28.219047619047622, 'drogueInflatedTime': 28.705601754267956, 'drogueInflatedVelocity': 26.200578742152924}
{'outOfRailTime': 0.34827195143900835, 'outOfRailVelocity': 13.412251818391315, 'apogeeTime': 23.863178804487337, 'apogeeAltitude': 2244.0908590335916, 'apogeeX': 567.7463799176518, 'apogeeY': 120.85873503987747, 'impactTime': 167.58808281151425, 'impactX': 772.912092671278, 'impactY': 152.278471750577, 'impactVelocity': -9.130501787403626, 'initialStaticMargin': 1.8983596154908347, 'outOfRailStaticMargin': 1.9390210247252049, 'finalStaticMargin': 2.6050240447257003, 'numberOfEvents': 2, 'executionTime': 1.71875, 'maxVelocity': 186.82376292555452, 'drogueTriggerTime': 22.580952380952382, 'drogueInflatedTime': 24.007312409635308, 'drogueInflatedVelocity': 26.006826008390515}
{'outOfRailTime': 0.3389211144655123, 'outOfRailVelocity': 15.295511081113215, 'apogeeTime': 28.65516071355755, 'apogeeAltitude': 3411.6987504487324, 'apogeeX': 584.2704224609291, 'apogeeY': 205.73391483745826, 'impactTime': 245.49718320309864, 'impactX': 1024.9996238233296, 'impactY': 116.02658351144169, 'impactVelocity': -7.871796773707393, 'initialStaticMargin': 1.8584646805333678, 'outOfRailStaticMargin': 1.897234234059869, 'finalStaticMargin': 2.6577849654552015, 'numberOfEvents': 2, 'executionTime': 2.140625, 'maxVelocity': 243.44805384322504, 'drogueTriggerTime': 27.25714285714286, 'drogueInflatedTime': 28.27739888993075, 'drogueInflatedVelocity': 22.556936958622313}
{'outOfRailTime': 0.36292096762818576, 'outOfRailVelocity': 14.048250176317357, 'apogeeTime': 25.52644723712835, 'apogeeAltitude': 2544.091136167821, 'apogeeX': 490.10776641389634, 'apogeeY': 14.017572361353317, 'impactTime': 172.03233413726883, 'impactX': 932.3464031279408, 'impactY': 110.12561931645702, 'impactVelocity': -9.730410808029053, 'initialStaticMargin': 3.662922288585722, 'outOfRailStaticMargin': 3.6961248858686258, 'finalStaticMargin': 4.229007587337066, 'numberOfEvents': 2, 'executionTime': 1.5625, 'maxVelocity': 195.80779898289927, 'drogueTriggerTime': 24.08571428571429, 'drogueInflatedTime': 25.71761552862293, 'drogueInflatedVelocity': 21.183995866218762}
{'outOfRailTime': 0.33852381878405546, 'outOfRailVelocity': 16.02012527502673, 'apogeeTime': 26.377505540378085, 'apogeeAltitude': 2890.8541521736424, 'apogeeX': 561.889226220886, 'apogeeY': 276.13332090899405, 'impactTime': 213.7635229730377, 'impactX': 802.1912919375375, 'impactY': 212.93335616238554, 'impactVelocity': -7.76938802382215, 'initialStaticMargin': 2.178673245697499, 'outOfRailStaticMargin': 2.2389727933404706, 'finalStaticMargin': 3.24664720117792, 'numberOfEvents': 2, 'executionTime': 1.765625, 'maxVelocity': 222.14505745255642, 'drogueTriggerTime': 24.90476190476191, 'drogueInflatedTime': 26.077303945341978, 'drogueInflatedVelocity': 24.600077431457517}
{'outOfRailTime': 0.267932216634457, 'outOfRailVelocity': 19.051734262222492, 'apogeeTime': 34.076551391597405, 'apogeeAltitude': 5424.849274232195, 'apogeeX': 940.8036343690561, 'apogeeY': 269.8618508345167, 'impactTime': 346.30834758565663, 'impactX': 2914.233087250581, 'impactY': 568.5768935990491, 'impactVelocity': -7.661957722640266, 'initialStaticMargin': 2.480064371477256, 'outOfRailStaticMargin': 2.5104151514939295, 'finalStaticMargin': 3.200633045432731, 'numberOfEvents': 2, 'executionTime': 3.265625, 'maxVelocity': 346.59753390144596, 'drogueTriggerTime': 31.571428571428573, 'drogueInflatedTime': 32.93721254544669, 'drogueInflatedVelocity': 30.29308636573872}
{'outOfRailTime': 0.2894965212266728, 'outOfRailVelocity': 16.62097236460818, 'apogeeTime': 30.71935040185986, 'apogeeAltitude': 4084.6421880102935, 'apogeeX': 656.8205190388468, 'apogeeY': 290.7304046807223, 'impactTime': 221.7348948032695, 'impactX': 1296.803238120376, 'impactY': 286.74098074569963, 'impactVelocity': -9.17734724240213, 'initialStaticMargin': 2.5644967370750478, 'outOfRailStaticMargin': 2.607352890286093, 'finalStaticMargin': 3.4201820527071005, 'numberOfEvents': 2, 'executionTime': 2.046875, 'maxVelocity': 269.942218927758, 'drogueTriggerTime': 29.295238095238098, 'drogueInflatedTime': 29.93848026561411, 'drogueInflatedVelocity': 24.828883713317857}
{'outOfRailTime': 0.25758431974223883, 'outOfRailVelocity': 19.692262181430024, 'apogeeTime': 27.48491036025656, 'apogeeAltitude': 3495.245809072967, 'apogeeX': 767.5958628782644, 'apogeeY': 286.7353783917766, 'impactTime': 226.16367449926224, 'impactX': 1266.1594066520227, 'impactY': 167.9673727182182, 'impactVelocity': -8.095744776541625, 'initialStaticMargin': 1.8597541160275382, 'outOfRailStaticMargin': 1.9215953220931394, 'finalStaticMargin': 2.9109324256729594, 'numberOfEvents': 2, 'executionTime': 1.875, 'maxVelocity': 266.8064436516802, 'drogueTriggerTime': 26.03809523809524, 'drogueInflatedTime': 26.57611833408679, 'drogueInflatedVelocity': 29.503557056598872}
{'outOfRailTime': 0.30916766073902047, 'outOfRailVelocity': 16.508910859948283, 'apogeeTime': 29.06622671694614, 'apogeeAltitude': 3624.257269176719, 'apogeeX': 664.6710170288543, 'apogeeY': 120.02227781669929, 'impactTime': 251.92949844267645, 'impactX': 1264.1263471218592, 'impactY': 74.3713478422172, 'impactVelocity': -8.182194512205065, 'initialStaticMargin': 2.9410644272027118, 'outOfRailStaticMargin': 2.9928601064653635, 'finalStaticMargin': 3.974329261688143, 'numberOfEvents': 2, 'executionTime': 2.265625, 'maxVelocity': 256.9229391620106, 'drogueTriggerTime': 27.44761904761905, 'drogueInflatedTime': 28.356700489385197, 'drogueInflatedVelocity': 24.26190300446786}
{'outOfRailTime': 0.23442143675621846, 'outOfRailVelocity': 19.358793192742226, 'apogeeTime': 30.29864863988654, 'apogeeAltitude': 4335.1221550630735, 'apogeeX': 741.160729861239, 'apogeeY': 132.45981576617407, 'impactTime': 257.83484180416957, 'impactX': 1684.3716815275461, 'impactY': 114.63785483033416, 'impactVelocity': -8.865117236338554, 'initialStaticMargin': 2.6347326782767078, 'outOfRailStaticMargin': 2.6646656688973858, 'finalStaticMargin': 3.196794180710969, 'numberOfEvents': 2, 'executionTime': 2.3125, 'maxVelocity': 299.52380858190855, 'drogueTriggerTime': 28.980952380952385, 'drogueInflatedTime': 30.948262310075258, 'drogueInflatedVelocity': 25.331066071686095}
{'outOfRailTime': 0.2815234255155415, 'outOfRailVelocity': 17.30620234873245, 'apogeeTime': 27.671195122149303, 'apogeeAltitude': 3407.488970802231, 'apogeeX': 937.8442678016198, 'apogeeY': 400.1267802174183, 'impactTime': 218.4702214858773, 'impactX': 1301.108599370376, 'impactY': 434.1300543600313, 'impactVelocity': -8.801432176908103, 'initialStaticMargin': 2.0544923933971613, 'outOfRailStaticMargin': 2.0867213330238523, 'finalStaticMargin': 2.651270967307044, 'numberOfEvents': 2, 'executionTime': 1.890625, 'maxVelocity': 257.18653538176426, 'drogueTriggerTime': 26.28571428571429, 'drogueInflatedTime': 27.774268958298258, 'drogueInflatedVelocity': 36.60861757519088}
{'outOfRailTime': 0.28987409568997613, 'outOfRailVelocity': 18.34296975550003, 'apogeeTime': 30.395661412436073, 'apogeeAltitude': 4191.399525667752, 'apogeeX': 910.27008361946, 'apogeeY': 343.4208910623681, 'impactTime': 262.2441492570714, 'impactX': 1693.8397904596875, 'impactY': 240.11833747371813, 'impactVelocity': -8.893554403305833, 'initialStaticMargin': 1.8961874086365818, 'outOfRailStaticMargin': 1.9386505062230281, 'finalStaticMargin': 2.738481434099594, 'numberOfEvents': 2, 'executionTime': 2.5625, 'maxVelocity': 286.96480022620307, 'drogueTriggerTime': 28.971428571428575, 'drogueInflatedTime': 29.946314589561844, 'drogueInflatedVelocity': 31.824110613418103}
{'outOfRailTime': 0.32491893996375437, 'outOfRailVelocity': 15.319998415650483, 'apogeeTime': 26.026150104408664, 'apogeeAltitude': 2815.1432268696713, 'apogeeX': 808.5210287525325, 'apogeeY': 257.8454521463818, 'impactTime': 198.69444660851227, 'impactX': 1017.1827156678803, 'impactY': 124.21911239653323, 'impactVelocity': -8.812959373051282, 'initialStaticMargin': 3.363724270175555, 'outOfRailStaticMargin': 3.422393983894819, 'finalStaticMargin': 4.408086543381911, 'numberOfEvents': 2, 'executionTime': 1.734375, 'maxVelocity': 216.33119370847942, 'drogueTriggerTime': 24.761904761904763, 'drogueInflatedTime': 26.21113116796846, 'drogueInflatedVelocity': 34.082083785449285}
{'outOfRailTime': 0.31377189819226636, 'outOfRailVelocity': 15.864683144443813, 'apogeeTime': 26.888382769375994, 'apogeeAltitude': 3072.422185185468, 'apogeeX': 471.7993787937286, 'apogeeY': 148.57221351915632, 'impactTime': 198.79542526652128, 'impactX': 722.2667535175729, 'impactY': -11.728425791496361, 'impactVelocity': -9.076322785278029, 'initialStaticMargin': 1.976744128815587, 'outOfRailStaticMargin': 2.02628824940753, 'finalStaticMargin': 2.865763453234723, 'numberOfEvents': 2, 'executionTime': 1.765625, 'maxVelocity': 228.3281526363606, 'drogueTriggerTime': 25.514285714285716, 'drogueInflatedTime': 27.034821301046957, 'drogueInflatedVelocity': 18.91967627119649}
